Nº NF;OC Vinculada;Status OC;Status Sistema;Chave Acesso
117325;1342;aberta;pendente;33260307358761028411550010001173251147553301
117239;1342;aberta;pendente;33260307358761028411550010001172391326339681
3418;1334;aberta;pendente;33260336380430000123550010000034181000334727
77761;1213;aberta;pendente;35260244151413000142550010000777611109669943
77744;1236;fechada;processada;35260244151413000142550010000777441473458553
77745;1236;fechada;pendente;35260244151413000142550010000777451197551032
77746;1238;aberta;pendente;35260244151413000142550010000777461517532103
1455527;1380;aberta;pendente;42260292664028002519550010014555271014074427
140553;1323;aberta;pendente;33260207358761026206550010001405531040243598
140552;1358;aberta;pendente;33260207358761026206550010001405521408312130
25264;1331;aberta;pendente;33260224204991000192550010000252641127927331
433;1202;aberta;pendente;35260219496633000160550010000004331000551073
10502;4892;aberta;pendente;26260205395073000143550010000105021883828767
91611;537;aberta;pendente;35260257643645000402550020000916111223087051
91612;449;aberta;pendente;35260257643645000402550020000916121221480101
4193;1261;aberta;pendente;31260217756068000106550010000041931000434333
175371;1271;aberta;pendente;35260209353055000150550000001753711002662254
91433;449;aberta;pendente;35260257643645000402550020000914331221480097
929;1321;aberta;pendente;41260229252689000123550010000009291404538460
15875;1322;aberta;pendente;35260210531308000117550010000158751810356780
174848;1388;aberta;pendente;35260209353055000150550000001748481002655856
3323;1334;aberta;pendente;33260236380430000123550010000033231000329759
174659;1387;aberta;pendente;35260209353055000150550000001746591002653538
3307;1295;aberta;pendente;33260136380430000123550010000033071000328178
174499;1350;aberta;pendente;35260109353055000150550000001744991002651781
3301;1295;aberta;pendente;33260136380430000123550010000033011000327933
1441269;1296;aberta;pendente;42260192664028002519550010014412691014008619
3287;1334;aberta;pendente;33260136380430000123550010000032871000327541
3290;1270;aberta;pendente;33260136380430000123550010000032901000327580
3286;1295;aberta;pendente;33260136380430000123550010000032861000327528
47454;1328;aberta;pendente;33260125464260000491550010000474541180474545
1440254;1360;aberta;pendente;42260192664028002519550010014402541014974909
24857;1228;aberta;pendente;33260124204991000192550010000248571009839289
174219;1278;aberta;pendente;35260109353055000150550000001742191002648517
3266;1274;aberta;pendente;33260136380430000123550010000032661000326863
7954;268;aberta;pendente;35260107243151000110550030000079541307637790
162950;1276;aberta;pendente;33260131383201000149550010001629501010016292
1437663;1296;aberta;pendente;42260192664028002519550010014376631014119820
24785;1331;aberta;pendente;33260124204991000192550010000247851949275730
24784;1332;aberta;pendente;33260124204991000192550010000247841796260874
47299;1328;aberta;pendente;33260125464260000491550010000472991180472993
47219;1293;aberta;pendente;33260125464260000491550010000472191180472194
10100;1317;aberta;pendente;43260134560360000160550010000101001000147446
95019;1257;aberta;pendente;33260102655093000207550010000950191478155349
162352;1282;aberta;pendente;33260131383201000149550010001623521010016235
90748;449;aberta;pendente;35260157643645000402550020000907481221480063
90750;449;aberta;pendente;35260157643645000402550020000907501221480070
90749;449;aberta;pendente;35260157643645000402550020000907491221480087
90738;537;aberta;pendente;35260157643645000402550020000907381223087028
90740;537;aberta;pendente;35260157643645000402550020000907401223087042
90737;537;aberta;pendente;35260157643645000402550020000907371223087039
90739;537;aberta;pendente;35260157643645000402550020000907391223087017
90718;449;aberta;pendente;35260157643645000402550020000907181221480056
90719;449;aberta;pendente;35260157643645000402550020000907191221480045
90689;449;aberta;pendente;35260157643645000402550020000906891221480028
90688;449;aberta;pendente;35260157643645000402550020000906881221480039
90687;449;aberta;pendente;35260157643645000402550020000906871221480015
24610;1228;aberta;pendente;33260124204991000192550010000246101861376720
24609;1232;aberta;pendente;33260124204991000192550010000246091050823148
173426;1209;aberta;pendente;35260109353055000150550000001734261002639063
6471;1205;aberta;pendente;33260138052139000151550010000064711705259732
294508;1177;aberta;pendente;35260161479002000108550010002945081078596595
2066;1155;aberta;pendente;33260140139851000134550010000020661000594814
173113;1154;aberta;pendente;35260109353055000150550000001731131002635349
76791;451;aberta;pendente;35251244151413000142550010000767911942871519
3710;1279;aberta;pendente;26251231562305000110550010000037101574848556
3700;1266;aberta;pendente;26251231562305000110550010000037001031916554
212573;1094;aberta;pendente;35251262312426000138550010002125731344753256
3697;1261;aberta;pendente;26251231562305000110550010000036971766326716
3695;1256;aberta;pendente;26251231562305000110550010000036951449463972
3683;1244;aberta;pendente;26251231562305000110550010000036831882930050
3682;1243;aberta;pendente;26251231562305000110550010000036821926040880
3680;1239;aberta;pendente;26251231562305000110550010000036801501514681
3678;1236;fechada;pendente;26251231562305000110550010000036781907016461
3676;1233;aberta;pendente;26251231562305000110550010000036761168505137
76340;451;aberta;pendente;35251244151413000142550010000763401442212124
88190;537;aberta;pendente;35251057643645000402550020000881901223087009
3373;1381;aberta;pendente;26250731562305000110550010000033731683110195
3368;1376;aberta;pendente;26250731562305000110550010000033681813207231
3359;1362;aberta;pendente;26250631562305000110550010000033591557209150
3357;1360;aberta;pendente;26250631562305000110550010000033571264541424
3325;1305;aberta;pendente;26250631562305000110550010000033251820535884
3319;1295;aberta;pendente;26250631562305000110550010000033191179916973
3312;1286;aberta;pendente;26250631562305000110550010000033121909528358
3311;1285;aberta;pendente;26250631562305000110550010000033111749965138
3309;1279;aberta;pendente;26250631562305000110550010000033091877372964
3308;1278;aberta;pendente;26250631562305000110550010000033081407593630
3304;1266;aberta;pendente;26250531562305000110550010000033041250622926
3306;1270;aberta;pendente;26250531562305000110550010000033061074160850
3296;1253;aberta;pendente;26250531562305000110550010000032961994828464
3293;1249;aberta;pendente;26250531562305000110550010000032931521403316
3287;1237;aberta;pendente;26250531562305000110550010000032871210062501
3269;1212;aberta;pendente;26250531562305000110550010000032691390514246
3268;1211;aberta;pendente;26250531562305000110550010000032681448719310
3253;1181;aberta;pendente;26250431562305000110550010000032531000199096
3252;1180;aberta;pendente;26250431562305000110550010000032521862576621
3231;1154;aberta;pendente;26250431562305000110550010000032311810581276
3211;1121;aberta;pendente;26250431562305000110550010000032111470913798
3210;1119;aberta;pendente;26250431562305000110550010000032101779328110
3831;1383;aberta;pendente;33250403548170000101550010000038311585638768
3202;1109;aberta;pendente;26250431562305000110550010000032021356672281
3200;1105;aberta;pendente;26250431562305000110550010000032001482312227
44892;1320;aberta;pendente;26250161479002001503550010000448921065808736
